ID,Manzana,Lote,Superficie,Estado,Cuota,Total,Descuento,Contado,Entrega ,
"001-RESIDENCIAL ALTO PARAISO
",,,,,,,,,,
1-1-1,1,1,734.25,Vendido,,0,0.5,0,,1
1-1-2,1,2,525.66,Vendido,,0,0.5,0,,1
1-1-3,1,3,525.66,Vendido,,0,0.5,0,,1
1-2-1,2,1,423.88,Vendido,,0,0.5,0,,1
1-2-2,2,2,426.39,Vendido,,0,0.5,0,,1
1-2-3,2,3,413.34,Vendido,,0,0.5,0,,1
1-2-4,2,4,369.04,Vendido,,0,0.5,0,,1
1-2-5,2,5,366.77,Vendido,,0,0.5,0,,1
1-3-1,3,1,433.79,Vendido,,0,0.5,0,,1
1-3-2,3,2,434.07,Vendido,,0,0.5,0,,1
1-3-3,3,3,433.27,Vendido,,0,0.5,0,,1
1-3-4,3,4,402.29,Vendido,,0,0.5,0,,1
1-3-5,3,5,386.64,Vendido,,0,0.5,0,,1
1-4-1,4,1,360.3,Vendido,,0,0.5,0,,1
1-4-2,4,2,360.2,Vendido,,0,0.5,0,,1
1-4-3,4,3,360.38,Vendido,,0,0.5,0,,1
1-4-4,4,4,361.98,Vendido,,0,0.5,0,,1
1-4-5,4,5,364.07,Vendido,,0,0.5,0,,1
1-4-6,4,6,361.17,Vendido,,0,0.5,0,,1
,,,,,,0,,,,
"002-DOÑA GUILLERMINA
",,,,,,,,,,
2-1-1,1,1,362.34,Libre,520000,67600000,0.5,33800000,,2
2-1-2,1,2,362.34,Libre,520000,67600000,0.5,33800000,,2
2-1-3,1,3,362.48,Vendido,,0,0.5,0,,2
2-1-4,1,4,362.48,Vendido,,0,0.5,0,,2
2-10-1,10,1,362.34,Libre,340000,44200000,0.5,22100000,,2
2-10-2,10,2,362.34,Vendido,,0,0.5,0,,2
2-10-3,10,3,362.34,Libre,320000,41600000,0.5,20800000,,2
2-10-4,10,4,362.34,Libre,320000,41600000,0.5,20800000,,2
2-10-5,10,5,362.34,Vendido,,0,0.5,0,,2
2-10-6,10,6,362.34,Vendido,,0,0.5,0,,2
2-10-7,10,7,362.34,Vendido,,0,0.5,0,,2
2-10-8,10,8,362.34,Libre,330000,42900000,0.5,21450000,,2
